Technology,Level,Question,Option 1,Option 2,Option 3,Option 4,Correct Option
C#,3,Wrong statement about enum used in C#.NET is?,An enum can be declared inside a class, An object cannot be assigned to an enum variable,An enum can be declared outside a class,An enum can have Single and Double values,4
C#,3,hich among the following differentiates enum in C#.NET from enum in C language?," C is strictly a typed language, C#.NET also is a strictly typed language","In C, language variables of enum types can be used interchangeably with integers using type casts while enum variables cannot be used as a normal integers in C#.NET",All of the mentioned,None of the mentioned,2
C#,3,Select the correct statement among the given statements?,Properties could be declared inside an interface, Interfaces cannot be inherited,One class could implement only one interface, None of the mentioned,1
C#,3,Which of the following is the correct way of implementing an interface addition by class maths?, class maths : addition {},class maths implements addition {},class maths imports addition {},none of the mentioned,1
Html,1,Choose the correct statement.,In traditional XHTML close tag for some elements is optional but not encouraged,In traditional HTML close tag for some elements is optional but not encouraged,In both traditional XHTML and HTML close tag for some elements is not optional, In both traditional XHTML and HTML close tag for some elements is optional,2
Html,1,Which of the following is not a difference between HTML and XHTML?,Charset in html is “text/html” where as in xhtml it is “application/xml+xhtml”,Tags and attributes are case-insensitive in HTML but not in XHTML, Charset in both html and xhtml is “text/html”,Special characters must be escaped using character entities in XHTML unlike HTML,3
Html,1,What indicates the content in file is HTML when delivered on the network.,The extension of the file “.html”,Both “.html” extension and “content-type” header,The “content-type” header,The “content_type” header,3
Html,1, HTML and XHTML stands for ______, Hyper Text Markup Language and Extensible HyperText Markup Language,Hyper Text Marking Language and EXtensible HyperText Marking Language,Hyper Text Markup Language and Extensible HyperText Marking Language,Hyper Text Marking Language and Extensible HyperText Markup Language,1
Html,1, Choose the correct tag for the largest heading in HTML., h6,header,h1,head,3
Html,1,Which of the following are table tags?," table, thead, tr, td","colspan, table, tr","table, tt, tr, td","thead, colspan, td, tr",1
Html,1,Choose the correct HTML for width attribute and its value.,width=”80?, width=80,WIDTH=”80?,WIDTH=80,1
Html,1,Which feature was already introduced before HTML5?,Canvas/SVG,Video, Geolocation, Frames,4
Html,1,What application can one create even before the introduction of HTML5?,Forms,Web applications,Mobile applications,Browser based games,1
Html,1,What if one does not use the doctype in the starting of HTML document?,Browser finds a document in standard mode, Browser finds the document in quirky mode,Browser stops working,Browser crashes after showing the page,2
Html,1, Which tag supports Non-English language?,<input>,<bdo>,<audio>,<embed>,2
Html,1,Which element was not removed by HTML5?,<strike>,<center>,<small>,<big>,3
Html,1,Which element is design to wrap a single piece of information?,<time>,<nav>,<footer>,<head>,1
Html,1,What an article element should not contain?, Main element,Text or embedded content,Image,video and audio,1
Html,1, Which of the following is not sectioning elements?,<article>,<nav>,<aside>,<header>,4
Html,2,How many times can HTML5 events be fired?,Multiple,zero,once,Only two,1
Html,2, Which of the following statement is true?,Canvas Contains built-in animations,SVG needs scripts to draw elements,"In canvas, drawing is done with pixels",SVG don’t support to event handlers,3
Html,2,Which of the following element is not removed by HTML5?,vlink,span,marginwidth,compact,2
Html,2, Which of the following is not a newly added element in HTML5?,article,audio,nav,frameset,4
Html,2, ____________ defines the accelerator key to be used for keyboard access to an element.,data-X,accesskey,rp,command,2
Html,2, Which of the following element sets is an item of metadata?,itemscope,itemref,itemtype ,None of the mentioned,1
Html,2, _____________ defines a group of content that should be used as a figure and may be labeled by a legend element.,figure,output,details,aside,1
Html,2, Which of the following element is used for highlighting content similarly to how a highlighter pen might be used on important text in a book?,em,strong,mark,bold,3
Html,2,Which tag is used to encapsulate navigation and then style the elements appropriately as menu items?,ul,List,nav,both ul and li,4
Html,2, __________ can be used to advise the browser to download media content in the background to improve playback.,poster,autobuffer,data-X,buffer,2
Html,2,Which plugins can provide the fallback support for old browsers?,Flash,Quicktime,Both Flash and Quicktime,Fireback and Quickertime,3
Html,2, What is the default type of ‘type’ attribute of <input> element?,text,number,alphanumeric,special characters,1
Html,2,How image attribute works?, Sets an image background,Set an image as submit button,Set an image anywhere on the page,Bring default image to the page,2
Html,2,tel attribute is supported by the _________ browser.,Chrome,safari,firefox,opera,2
Html,2,Before HTML5 where data had to be stored?,cookies,browser,only in Internet Explorer,only in Chrome,1
Html,3,Which of the following is not a web storage interface?,storage,window,privacy,storageevent,3
Html,3,Which of the following is not the promises of the open web platform?,Security and Privacy,Performance and Tuning,Media and Real-Time Communications,Device Interconnection,4
Html,3,In localStorage object data ________,is deleted after the browser has been closed,can be seen but can not edit,is not deleted after the browser has been closed,can be seen as well as edit,3
Html,3,In sessionStorage object data __________, is not deleted after the browser has been closed,can be seen but can’t edit,can be seen as well as edit,is deleted after the browser has been closed,4
Html,3, Form validation traditionally was performed by ___________,php,javascript,html,jQuery,2
Html,3,"All attribute declarations begin with the keyword ____________ followed by the element name, attribute name, attribute type, and default data information.",XML,HTML,ATTLIST,SGML,3
Html,3,Which of the following is not set with font-style property?, font-style: normal,font-style: italic,font-style: oblique,font-style: capitalize,4
Html,3,What is the work of <address> element?, contains contact details for author,contains IP address,contains home address, contains url,1
Html,3,Which property is similar to C/C++ can be applied to comments?, for loop,while loop,ifelse,switch case,3
Html,3,What is the correct syntax of web address?,scheme://prefix.domain:port/path/filename, path://prefix.port:domain/filename/scheme,prefix://scheme.port:domain/filename/path, port://domain.filenmae:path/scheme/prefix,1
